Sha,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Message,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines,Source
f0e639af5ffdc839aae8e65d19b5a9a1f0db634a,,,False,1,2018-05-04 00:22:00,2,2018-05-04 00:22:00,Initial commit,0,868,0,868,0,389137,382168,382168,0,mlnet
76cb2cdf5cc8b6c88ca44b8969153836e589df04,f0e639af5ffdc839aae8e65d19b5a9a1f0db634a,,False,3,2018-05-04 19:47:21,4,2018-05-04 19:47:21,Get a working build (#1),1,23,16,6,1,5972,1722,1749,27,mlnet
972f6232de173b5e294a34a847682e9b1e67d3af,76cb2cdf5cc8b6c88ca44b8969153836e589df04,,False,5,2018-05-04 21:06:13,4,2018-05-04 21:06:13,Fixed the syntax of cited example. (#2),1,1,1,0,0,64,-1,4,5,mlnet
cde0d7d18ec9e93bde1d3a53c35f87430ac43fee,972f6232de173b5e294a34a847682e9b1e67d3af,,False,6,2018-05-05 08:11:31,7,2018-05-05 08:11:31,Add ML.NET Roadmap (#30),1,3,2,1,0,376,127,128,1,mlnet
da023b18464268a9d4431de1f978a685fa397a8b,cde0d7d18ec9e93bde1d3a53c35f87430ac43fee,cfcb6cbb08db5a2b1f84294763bd99828b88b2ea,True,8,2018-05-07 03:50:30,7,2018-05-07 03:50:30,Merge pull request #35 from shauheen/update_contribution,1,3,1,2,0,54,47,47,0,mlnet
0ba22f120acbe629f16c4a09f1f36ecf6faa2b63,da023b18464268a9d4431de1f978a685fa397a8b,,False,9,2018-05-07 04:44:57,10,2018-05-07 04:44:57,Add release notes for ML.NET 0.1 (#37),1,1,0,1,0,47,47,47,0,mlnet
c023727b76970ab913ec1ce38276508835c17bcf,0ba22f120acbe629f16c4a09f1f36ecf6faa2b63,,False,8,2018-05-07 15:20:33,7,2018-05-07 15:20:33,Update README.md (#40),1,1,1,0,0,88,24,43,19,mlnet
2038108473015a58cee8425719f75751282cb7b0,c023727b76970ab913ec1ce38276508835c17bcf,,False,8,2018-05-07 15:54:00,7,2018-05-07 15:54:00,Adjust gitter link to go to new mlnet room (#42),1,2,2,0,0,119,0,2,2,mlnet
02e5cd5a148bdd85b655eb4e20f822485a8ba2a3,2038108473015a58cee8425719f75751282cb7b0,,False,4,2018-05-07 17:26:00,7,2018-05-07 17:26:00,Add push trigger to netci.groovy (#46),1,1,1,0,0,68,2,5,3,mlnet
21ad5ff628d05b62b6fca05ecb3f75f5b556b255,02e5cd5a148bdd85b655eb4e20f822485a8ba2a3,,False,11,2018-05-07 17:48:17,12,2018-05-07 17:48:17,Update dataset (#45),1,3,1,2,0,2048616,2048587,2048587,0,mlnet
2603a9652b52f0fdc1157192decb9e39c18b6155,21ad5ff628d05b62b6fca05ecb3f75f5b556b255,,False,4,2018-05-07 19:44:49,7,2018-05-07 19:44:49,Add Build Status to README (#48),1,1,1,0,0,92,4,5,1,mlnet
5748195f8b91e2d2e76a589fbfdb8949313a3059,2603a9652b52f0fdc1157192decb9e39c18b6155,5e812d166d01d9cbd4c9ed16d4648041fbb7c83a,True,11,2018-05-07 21:09:23,7,2018-05-07 21:09:23,Merge pull request #54 from dotnet/data-license,1,1,1,0,0,45,6,11,5,mlnet
af95f66fdef86c71fc9a42e142f6a01f518c649c,5748195f8b91e2d2e76a589fbfdb8949313a3059,,False,13,2018-05-07 22:11:06,10,2018-05-07 22:11:06,[Src] Fixed typo: files in Microsoft.ML namespace (#59),1,6,6,0,0,1216,0,8,8,mlnet
d9d1216221701ee04951353e5180954056474cbf,af95f66fdef86c71fc9a42e142f6a01f518c649c,,False,13,2018-05-07 22:23:35,10,2018-05-07 22:23:35,[Docs] Fixed typo: ROADMAP.md (#55),1,1,1,0,0,95,0,2,2,mlnet
ae662104793a4ca6bc3863a0bee00591526b740b,d9d1216221701ee04951353e5180954056474cbf,,False,14,2018-05-08 05:06:19,10,2018-05-08 05:06:19,Pass correct field name to exception and message (#65),1,2,2,0,0,396,13,14,1,mlnet
500d7034025c08d41feb6a52bae6410a695b7b18,ae662104793a4ca6bc3863a0bee00591526b740b,,False,5,2018-05-08 06:12:04,6,2018-05-08 06:12:04,Refactored scenario tests (issue #32) (#52),2,4,4,0,0,459,5,12,7,mlnet
e9942bb360c05272ee923ebfb76c09a3cccb2528,500d7034025c08d41feb6a52bae6410a695b7b18,,False,6,2018-05-08 15:17:41,15,2018-05-08 15:17:41,Fix link to example file in readme.md (#71),1,1,1,0,0,93,1,3,2,mlnet
b26740707b077687e0406444ed0a709c766f5634,e9942bb360c05272ee923ebfb76c09a3cccb2528,,False,16,2018-05-08 20:44:39,4,2018-05-08 20:44:39,Correcting docs for building in Linux (#58),1,1,1,0,0,50,7,20,13,mlnet
142f3d761d3381d56527fe5ec82e444689c9ef76,b26740707b077687e0406444ed0a709c766f5634,,False,17,2018-05-08 21:52:58,10,2018-05-08 21:52:58,Minor comment fixes. (#84),1,2,2,0,0,187,1,3,2,mlnet
051b62c29b13c1f8b80c8ddd6df8537f620732b5,142f3d761d3381d56527fe5ec82e444689c9ef76,,False,18,2018-05-09 16:00:56,6,2018-05-09 16:00:56,Expand on NuGet installation (#90),1,1,1,0,0,95,2,5,3,mlnet
4f9ee892af309cb08a4809316c53c83497022661,051b62c29b13c1f8b80c8ddd6df8537f620732b5,,False,4,2018-05-09 17:11:54,10,2018-05-09 17:11:54,Bump version number to 0.2. (#95),1,1,1,0,0,8,0,1,1,mlnet
3e5b5edb34617311a2df5d3458edb074a0e7a84a,4f9ee892af309cb08a4809316c53c83497022661,,False,5,2018-05-09 17:35:10,4,2018-05-09 17:35:10,Comments added to LearningPipeline class to make Intellisense more helpful. (#50),1,1,1,0,0,251,88,88,0,mlnet
e1db5c53f0ff29fd97dca8087e7f7bedfd0b5124,3e5b5edb34617311a2df5d3458edb074a0e7a84a,,False,19,2018-05-09 17:58:23,4,2018-05-09 17:58:23,publish symbols enabled (#99),1,1,1,0,0,33,0,1,1,mlnet
ff5fb14e508cd55b7305387f4ac53be4f611f96a,e1db5c53f0ff29fd97dca8087e7f7bedfd0b5124,,False,20,2018-05-10 00:47:34,6,2018-05-10 00:47:34,Fix reversed hyperparameters in Scenarios Tests. Closes #25. (#94),2,1,1,0,0,112,0,14,14,mlnet
e9cd4bc3310ca4e09ce99f02f67d9549790644fc,ff5fb14e508cd55b7305387f4ac53be4f611f96a,,False,21,2018-05-10 15:21:26,4,2018-05-10 15:21:26,Issue #104: Update the build tools to 2.1.200 (#105),2,1,1,0,0,1,0,1,1,mlnet
2e732ea8a3846ba0193a8116a4a043a58637513c,e9cd4bc3310ca4e09ce99f02f67d9549790644fc,,False,22,2018-05-11 15:39:25,7,2018-05-11 15:39:25,Update code generator to handle generic types and types with multiple '+' signs in them. (#102),1,3,3,0,0,15580,55,136,81,mlnet
ea07be87a5300e0e4d50563cfb14e963f3dee286,2e732ea8a3846ba0193a8116a4a043a58637513c,,False,5,2018-05-11 18:09:40,7,2018-05-11 18:09:40,"Fixed exception: ""InvalidOperationException: Source column 'Label' is required but not found."" (#121)",1,2,1,1,0,516,137,139,2,mlnet
3780923d0d0e839c4e94edec7701c1ab7def7791,ea07be87a5300e0e4d50563cfb14e963f3dee286,,False,23,2018-05-11 18:40:08,6,2018-05-11 18:40:08,Update TextLoader.cs (#129),1,1,1,0,0,125,0,1,1,mlnet
8e60d97bed3909d0443c67e2057726ec8cbdf4b6,3780923d0d0e839c4e94edec7701c1ab7def7791,,False,5,2018-05-11 23:20:02,7,2018-05-11 23:20:02,Setting 'useHeader: false' in 'TrainAndPredictIrisModelTest' because there is '#' infront of header row in Iris.txt.,0,1,1,0,0,140,0,4,4,mlnet
5d03b5403ee690c6b05c5f7ec4c99e4b0bfbcc18,8e60d97bed3909d0443c67e2057726ec8cbdf4b6,,False,24,2018-05-12 16:18:47,15,2018-05-12 16:18:47,Replaced calls to DateTime.Now with DateTime.UtcNow to be locale agnostic (#133),1,7,7,0,0,3731,1,16,15,mlnet
54a0b420262001c4db68e8f7d0524bd30328411c,5d03b5403ee690c6b05c5f7ec4c99e4b0bfbcc18,,False,25,2018-05-12 23:31:50,10,2018-05-12 23:31:50,FastTree: Instantiate feature map for disk transpose and make Generalized Additive Models predictor resilient when feature map is not available. (#122),1,22,4,18,0,11668,4543,4560,17,mlnet
1b08ae43887887abb478130e070dd8407c5e17b9,54a0b420262001c4db68e8f7d0524bd30328411c,,False,9,2018-05-14 14:03:13,10,2018-05-14 14:03:12,Fix entry point name for Logistic Regression (LogisticRegressor is misleading) (#139),1,8,8,0,0,40458,0,599,599,mlnet
ca3fca60845eafb3c27349b7a9d90b20204eb376,1b08ae43887887abb478130e070dd8407c5e17b9,,False,4,2018-05-14 14:04:33,10,2018-05-14 14:04:33,Update NuGet packages to fill out all metadata. (#115),1,5,5,0,0,428,39,54,15,mlnet
33c8364032570003bbdc0bee3c4546df35661c49,ca3fca60845eafb3c27349b7a9d90b20204eb376,,False,22,2018-05-14 14:39:32,7,2018-05-14 14:39:32,Update MacroUtils to map trainer kinds to the correct suffix of trainer entry point names (#113),1,9,9,0,0,38120,652,728,76,mlnet
80a95b51ca4b182b0ed859cb8a928de5bb1e9289,33c8364032570003bbdc0bee3c4546df35661c49,,False,4,2018-05-14 16:18:23,7,2018-05-14 16:18:23,Fix build break (#146),1,1,1,0,0,215,0,2,2,mlnet
31021805167253381b035913c3d87d0354d8173b,80a95b51ca4b182b0ed859cb8a928de5bb1e9289,,False,22,2018-05-14 17:03:06,7,2018-05-14 17:03:06,Remove special case for Logistic Regression in MacroUtils.cs (#147),1,1,1,0,0,209,-6,0,6,mlnet
160e9e404cf810357358b397562d0b17363f68c8,31021805167253381b035913c3d87d0354d8173b,,False,4,2018-05-14 22:40:21,7,2018-05-14 22:40:21,Add Parquet symbols nuget package. (#145),1,5,4,1,0,88,-4,21,25,mlnet
