Label,Message,Source,IsMerge,WorkItems,TotalFiles,ModifiedFiles,AddedFiles,DeletedFiles,TotalLines,NetLines,AddedLines,DeletedLines,HasAddedFiles,HasDeletedFiles,MessageLength,WordCount
False,Add test,dotnetinteractive,False,0,1,1,0,0,964,18,18,0,False,False,8,2
False,Merge pull request #2836 from AbhitejJohn/fixtypo,dotnetinteractive,True,1,2,2,0,0,188,0,2,2,False,False,49,6
False,notebook changes,dotnetinteractive,False,0,1,1,0,0,538,60,535,475,False,False,16,2
False,Merge pull request #553 from cartermp/fsharp-samples-update,dotnetinteractive,True,1,3,1,1,1,1198,203,492,289,True,True,59,6
False,Update dependencies from https://github.com/dotnet/arcade build 20201201.2,dotnetinteractive,False,0,4,4,0,0,567,5,14,9,False,False,74,6
False,update dotnet sdk to 3.1.200,dotnetinteractive,False,0,4,4,0,0,415,0,5,5,False,False,28,5
False,change gesture for the sanddance,dotnetinteractive,False,0,1,1,0,0,117,0,1,1,False,False,32,5
False,Update dependencies from https://github.com/dotnet/arcade build 20240110.4 (#3415),dotnetinteractive,False,1,2,2,0,0,25,0,3,3,False,False,82,7
False,update system drawing,dotnetinteractive,False,0,1,1,0,0,47,0,1,1,False,False,21,3
False,http routing refactor,dotnetinteractive,False,0,3,2,1,0,248,8,55,47,True,False,21,3
False,test that submit code command is used,dotnetinteractive,False,0,2,2,0,0,100,18,22,4,False,False,37,7
False,Update dependencies from https://github.com/dotnet/arcade build 20220203.1 (#1896),dotnetinteractive,False,1,4,4,0,0,377,1,6,5,False,False,82,7
False,Merge pull request #717 from dotnet/darc-master-32038347-c786-453c-9dfd-fb2811d5fe01,dotnetinteractive,True,1,2,2,0,0,22,0,3,3,False,False,84,6
False,Update dependencies from https://github.com/dotnet/arcade build 20200330.5,dotnetinteractive,False,0,11,11,0,0,1428,77,130,53,False,False,74,6
False,js kernel can evaluate javascript code,dotnetinteractive,False,0,2,2,0,0,402,65,68,3,False,False,38,6
False,Update dependencies from https://github.com/dotnet/arcade build 20200805.7,dotnetinteractive,False,0,5,5,0,0,1010,36,43,7,False,False,74,6
False,add copyright header,dotnetinteractive,False,0,2,2,0,0,148,6,6,0,False,False,20,3
False,refactor,dotnetinteractive,False,0,1,1,0,0,133,1,3,2,False,False,8,1
False,use int?,dotnetinteractive,False,0,4,4,0,0,918,0,5,5,False,False,8,2
False,Localized file check-in by OneLocBuild Task: Build definition ID 743: Build ID 2440278,dotnetinteractive,False,0,13,13,0,0,143,39,52,13,False,False,86,13
False,improving the lifespan of the universe,dotnetinteractive,False,0,1,1,0,0,81,-1,1,2,False,False,38,6
False,Merge pull request #200 from jonsequitur/application-json-formatting,dotnetinteractive,True,1,12,8,4,0,1847,168,257,89,True,False,68,6
False,Adding PowerShell Notebook Examples (#117),dotnetinteractive,False,1,2,0,2,0,208,208,208,0,True,False,42,5
False,"update magic command, extension docs & clock sample",dotnetinteractive,False,0,9,8,1,0,1388,201,428,227,True,False,51,8
True,Tolerance of punctuation for leading request (#3456),dotnetinteractive,False,1,2,2,0,0,1228,56,57,1,False,False,52,7
False,wait for any in-flight sdk acquisitions before checking the version (#1190),dotnetinteractive,False,1,1,1,0,0,248,18,19,1,False,False,75,11
False,updated notebooks got repo metrics,dotnetinteractive,False,0,2,2,0,0,854,84,109,25,False,False,34,5
False,add action plan,dotnetinteractive,False,0,2,1,1,0,75,19,21,2,True,False,15,3
False,is Artur right???,dotnetinteractive,False,0,8,6,1,1,631,17,154,137,True,True,17,3
False,add internal repo notes (#460),dotnetinteractive,False,1,1,0,1,0,23,23,23,0,True,False,30,5
False,add support for response message,dotnetinteractive,False,0,5,5,0,0,385,49,74,25,False,False,32,5
False,Publish interactive packages (#427),dotnetinteractive,False,1,28,23,5,0,1461,157,211,54,True,False,35,4
False,Allow the user to specify the port,dotnetinteractive,False,0,4,4,0,0,1115,14,19,5,False,False,34,7
False,isolated folders,dotnetinteractive,False,0,5,5,0,0,158,0,3,3,False,False,16,2
False,update icons,dotnetinteractive,False,0,3,3,0,0,171,0,0,0,False,False,12,2
False,Merge pull request #1710 from brettfo/merge-release-dotnet6-to-main,dotnetinteractive,True,1,56,55,1,0,5048,63,300,237,True,False,67,6
False,Update README.md,dotnetinteractive,False,0,1,1,0,0,73,0,1,1,False,False,16,2
False,debounce all language service commands by type and all on execute,dotnetinteractive,False,0,13,13,0,0,5296,45,102,57,False,False,65,11
False,Update readme.md,dotnetinteractive,False,0,1,1,0,0,47,0,1,1,False,False,16,2
False,adding html fotmatting (#2544),dotnetinteractive,False,1,3,3,0,0,529,106,113,7,False,False,30,4
False,Update README.md,dotnetinteractive,False,0,1,1,0,0,106,2,2,0,False,False,16,2
False,cleanup public api surface,dotnetinteractive,False,0,9,8,1,0,1859,14,50,36,True,False,26,4
False,Update variable-sharing.md,dotnetinteractive,False,0,1,1,0,0,142,0,1,1,False,False,26,2
False,Update setup-rapbian.sh,dotnetinteractive,False,0,1,1,0,0,91,-2,1,3,False,False,23,2
False,Merge pull request #614 from msynk/patch-4,dotnetinteractive,True,1,1,1,0,0,28,0,2,2,False,False,42,6
False,cleanup,dotnetinteractive,False,0,3,3,0,0,648,53,71,18,False,False,7,1
False,Add comment,dotnetinteractive,False,0,1,1,0,0,227,6,7,1,False,False,11,2
False,update for the new edit api,dotnetinteractive,False,0,3,3,0,0,14417,2,26,24,False,False,27,6
False,improve #!value docs,dotnetinteractive,False,0,3,2,1,0,472,107,148,41,True,False,20,3
False,Merge pull request #659 from jonsequitur/rename-Rendering,dotnetinteractive,True,1,76,75,1,0,9645,64,166,102,True,False,57,6
False,Also pack wasmcoderunner (#376),dotnetinteractive,False,1,1,1,0,0,16,3,4,1,False,False,31,4
False,add support for calculating centroid of a list of vectors,dotnetinteractive,False,0,2,0,2,0,42,42,42,0,True,False,57,10
False,Update dependencies from https://github.com/dotnet/arcade build 20200224.3,dotnetinteractive,False,0,2,2,0,0,22,0,3,3,False,False,74,6
