Sha,Message,Predicted Label,Reasoning,Source,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines,Has Added Files,Has Deleted Files,DayOfWeek,Month,Quarter,Year,Hour,TimeOfDay,Is Weekend,Actual Label
313364c68e1e044f58e4a0c1b9daa109b74533c2,tests,False,Tests are meant for verifying functionality and do not directly fix issues,dotnetinteractive,660d877e9ac9b641a022b44d3338f73fe2dabf2f,,False,10,2020-09-25 10:35:06-04:00,14,2020-10-14 22:10:39,0,3,1,2,0,455,45,45,0,True,False,Friday,September,3,2020,10,Morning,False,
789eceda50d53804981d22a308fecd523854d9f0,Update README.md,False,Updating documentation does not indicate fixing any bugs,dotnetinteractive,35db2619fd2341e01d4e83d25f54bc05c66adea2,,False,10,2020-01-23 09:26:15-05:00,2,2020-01-23 14:26:15,0,1,1,0,0,40,0,1,1,False,False,Thursday,January,1,2020,9,Morning,False,
0f9bf40d9afc8c9c341ece2d67d757f025079a43,pr feedback part 1,False,Pull request title indicates feedback or discussion rather than fixation of bugs,dotnetinteractive,ec925994fdc2f173649832c3fe0c3c13bfe0d274,,False,14,2020-10-07 17:49:50-04:00,14,2020-10-14 22:10:39,0,8,8,0,0,832,0,11,11,False,False,Wednesday,October,4,2020,17,Afternoon,False,
54d44232bf8461ae6b7f55826985979ccd85f79a,serialize tabular data resource,False,Serialization is usually for the purpose of storage and transmission rather than fixing existing code bugs,dotnetinteractive,18c98d55c0697dcbb3db75f1e3cc8331bfa3b70f,,False,10,2021-10-30 05:28:13-04:00,14,2021-10-30 12:11:53,0,2,2,0,0,66,3,4,1,False,False,Saturday,October,4,2021,5,Night,True,
adad2026da6643707117ac6aaaeec4d70da26cdf,Update README.md,False,Updating documentation does not fix bugs,dotnetinteractive,fd210ca6d5f8110c13d396f88aa135a6b974bc38,,False,6,2020-04-01 15:53:09-04:00,2,2020-04-01 19:53:09,0,1,1,0,0,92,-2,1,3,False,False,Wednesday,April,2,2020,15,Afternoon,False,
c7a7b14bc4bfe669c3504cd55d6444ae41c31fef,Merge pull request #633 from ErikSchierboom/patch-1,False,A merge pull request typically signifies integrating changes but doesn't specify bug fixing,dotnetinteractive,b090e612a0bd8359b4f1c9dff8426237c3f706e7,2eb395349c939574cc5391549e084e1f59d6b687,True,6,2019-11-12 12:48:54-05:00,2,2019-11-12 17:48:54,1,1,1,0,0,65,0,1,1,False,False,Tuesday,November,4,2019,12,Morning,False,
8d8a8a0faefecdaf06b8881575f9ccf6f8abb44c,Update Dockerfile,False,Updating Dockerfiles typically involves changes unrelated to fixing existing code bugs,dotnetinteractive,2b606f6ed7187c21aaa399201381bae86f6b554e,,False,10,2020-06-18 14:45:11-04:00,2,2020-06-18 18:45:11,0,1,1,0,0,76,1,2,1,False,False,Thursday,June,2,2020,14,Afternoon,False,
d9179a952568e59d2a7a60bcd044c3b2adbdbed8,ouch,False,The term 'ouch' might imply an issue but doesn’t provide enough detail for classification,dotnetinteractive,16bddc078134ef34f5581b39896cd3ae4789dbfc,,False,10,2021-05-27 13:23:52-04:00,14,2021-05-27 19:42:49,0,1,1,0,0,441,0,4,4,False,False,Thursday,May,2,2021,13,Afternoon,False,
71cad4e7e2a2212e0348224be5460b86e698d012,move to .NET SDK 3.1.100 (#734),False,.NET SDK version update does not indicate a bugfix,dotnetinteractive,a77f7598e848569daba6a02a5c0062efd6d1cdcd,,False,6,2020-01-08 15:03:17-05:00,2,2020-01-08 20:03:17,1,41,41,0,0,2174,0,44,44,False,False,Wednesday,January,1,2020,15,Afternoon,False,
3b16f0ed455cf6c1bc29d555b9bc480cf20b5e93,Update nuget-overview.md (#699),False,The commit message does not directly indicate solving a known issue.,dotnetinteractive,0dc06faa13d365051b3c8eac320f968d4985160a,,False,37,2020-08-18 16:38:44-04:00,2,2020-08-18 20:38:44,1,1,1,0,0,36,15,15,0,False,False,Tuesday,August,3,2020,16,Afternoon,False,
6d82876b2aaeb4283e5e6c23d482509e1e75ba68,feedback,False,The term 'feedback' is too vague and could refer to user feedback on various aspects of the application,dotnetinteractive,ebb32c8af4d41606cbc7d098202ba5e6fd839496,,False,15,2021-05-19 19:00:06-04:00,14,2021-06-17 18:09:27,0,3,3,0,0,726,5,19,14,False,False,Wednesday,May,2,2021,19,Evening,False,
bec74eda4a1378e3595dc7a66007c3900b5779b3,Support platform specific libraries,False,Mentioning support for libraries does not imply fixing bugs. It could mean enhancing functionality or compatibility.,dotnetinteractive,93aa819fc500f51f22a3815f925e5175e589b333,,False,15,2020-03-30 22:11:21-04:00,14,2020-03-31 08:57:39,0,1,1,0,0,1033,58,59,1,False,False,Monday,March,1,2020,22,Evening,False,
01844d3e79bd7bef58b7fe7570104de97bafe3bc,Merge pull request #402 from dotnet/dependabot/npm_and_yarn/Microsoft.DotNet.Try.Client/eslint-utils-1.4.2,False,The commit message refers to a merge request rather than the code changes themselves,dotnetinteractive,905d6091844b4563a093a6680450ce2796ee9913,2d428e259b7800c23c67933b0be29bc6d45bb0f6,True,10,2019-08-27 19:44:46-04:00,2,2019-08-27 23:44:46,1,1,1,0,0,10646,3,7,4,False,False,Tuesday,August,3,2019,19,Evening,False,
6acf6726c49177ffa17a5c9a4753a72917dea422,Update dependencies from https://github.com/dotnet/arcade build 20230928.1 (#3210),False,Updating dependencies is generally for compatibility or security rather than fixing a bug.,dotnetinteractive,80c5c3d7e6a14cd0ca07de308f9a3173f88df53d,,False,16,2023-10-02 12:50:58-04:00,2,2023-10-02 16:50:58,1,2,2,0,0,25,0,5,5,False,False,Monday,October,4,2023,12,Morning,False,
023f4b7450d12c551ed85d0e9bc7f8b78eaa3dd0,Ping is not a great idea to be tested (explained in the comments),False,The statement suggests criticism rather than a direct fix,dotnetinteractive,4ce19706efd0527185fb2114f8ac58f61037a782,,False,59,2021-04-11 07:18:18-04:00,14,2021-04-14 14:41:39,0,1,1,0,0,251,-2,2,4,False,False,Sunday,April,2,2021,7,Morning,True,
8d698de736619d50087cb359b03babb9106dfc04,Update DEVELOPER-GUIDE.md,False,Updating documentation does not fix existing code issues,dotnetinteractive,9550e986089eb82bd39bf471d84c5189be10c267,,False,6,2021-02-09 16:51:30-05:00,2,2021-02-09 21:51:30,0,1,1,0,0,131,-6,1,7,False,False,Tuesday,February,1,2021,16,Afternoon,False,
a1da544023ae93e8bae95405180931ab32ea2b40,formatting tests,False,Formatting test is likely related to improving code readability and does not directly fix bugs,dotnetinteractive,f6937d086e5db58cb5d94fd5b8e62a5e6419a75d,,False,10,2023-04-14 14:14:06-04:00,14,2023-04-15 00:19:51,0,4,4,0,0,207,62,70,8,False,False,Friday,April,2,2023,14,Afternoon,False,
5b26abb8a0cdf56c04a711b76b060b23ba9418b0,jskernel creates default handlers for registered command to forward them,False,The description seems related to feature implementation rather than fixing a known bug.,dotnetinteractive,ceaf5c1fbf14644cd940e85fbc2f54fd95c8e21a,,False,10,2021-04-13 20:40:25-04:00,14,2021-04-15 02:55:21,0,2,2,0,0,698,9,17,8,False,False,Tuesday,April,2,2021,20,Evening,False,
a4c6de3684bdaf4dc3502dd2351002c2a1653021,special-case markdown in the dynamic grammar,False,Mentions special case handling which suggests it's feature enhancement rather than a bug fix.,dotnetinteractive,a54dd65d7e92c8097662138e15c59563ad2b1748,,False,8,2023-01-31 19:06:33-05:00,14,2023-02-01 01:21:12,0,2,2,0,0,1506,63,65,2,False,False,Tuesday,January,1,2023,19,Evening,False,
d56df3a705d3ab7993f18b82e6c967f7864734e1,[main] Update dependencies from dotnet/arcade (#3324),False,Updating dependencies might be for performance or compatibility rather than fixing a bug.,dotnetinteractive,fd4baa24c44cce6837a0c845f371678aa54d7c85,,False,16,2023-11-20 20:55:50-05:00,2,2023-11-21 01:55:50,1,2,2,0,0,25,0,5,5,False,False,Monday,November,4,2023,20,Evening,False,
50be8b630dd1f55f89a6fef560323ed3c3abbebd,Update README.md,False,Updating documentation is unrelated to fixing bugs in code,dotnetinteractive,5dab6acd4a564324d52ff6b55f1c9411a2098790,,False,5,2019-05-13 15:00:05-04:00,2,2019-05-13 19:00:05,0,1,1,0,0,82,3,3,0,False,False,Monday,May,2,2019,15,Afternoon,False,
fcb49163e602da9235c05e0d6cdf7cac27b741f4,Update README.md,False,Updating documentation does not fix code issues,dotnetinteractive,0278d89a6150858193cee8e6d1ac0ce159ac4ad0,,False,5,2017-09-22 23:53:15-04:00,2,2017-09-23 03:53:15,0,1,1,0,0,26,2,2,0,False,False,Friday,September,3,2017,23,Evening,False,
8e931873af54cd76f307ee2083e1122947f19dca,update notebooks,False,The action sounds more like updating an application rather than addressing a known code issue,dotnetinteractive,84eb63d57e6b46e2e6be496a3555923d6f459802,,False,10,2020-06-03 13:01:27-04:00,14,2020-06-03 20:46:29,0,4,2,1,1,1025,239,619,380,True,True,Wednesday,June,2,2020,13,Afternoon,False,
c195e94ed0e23e30ad4ba1ede01992ae7cca8074,Update README.md,False,Updating documentation isn't fixing code bugs,dotnetinteractive,bfb331cc40419d59d9c304788f0a9bec7b32c79b,,False,6,2020-05-15 11:58:38-04:00,2,2020-05-15 15:58:38,0,1,1,0,0,104,0,1,1,False,False,Friday,May,2,2020,11,Morning,False,
