Sha,Message,IsBugFix,Reasoning,Source,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines,Has Added Files,Has Deleted Files,DayOfWeek,Month,Quarter,Year,Hour,TimeOfDay,Is Weekend,Message Length,Word Count
d68388a1c9994a5b429b194b64b2b0782834cb78,Adding another handful transform's extensions (#1494),False,Extensions seem to be related to improving functionality or usability rather than fixing issues,mlnet,7fb76b026d0035d6da4d0b46bd3f2a6e3c0ce3f1,,False,43,2018-11-01 15:32:59-04:00,7,2018-11-01 19:32:59,1,7,3,4,0,430,182,196,14,True,False,Thursday,November,4,2018,15,Afternoon,False,53,6
d5378cb9f35a99989e3dd76c2bf81a0392be867a,Fix TermLookup bug and enable two unit tests (#1461),True,The commit directly states it's fixing a known issue named 'TermLookup bug',mlnet,d68388a1c9994a5b429b194b64b2b0782834cb78,,False,22,2018-11-02 11:23:01-04:00,7,2018-11-02 15:23:01,1,4,4,0,0,5137,6,44,38,False,False,Friday,November,4,2018,11,Morning,False,52,9
850f91c2e67679a825b49d3eefd96dea2cc2c153,Mark UInt128 and other obvious readonly structs as readonly. (#1496),True,"The commit mentions explicitly fixing a known issue (in this case, ensuring certain data structures remain immutable)",mlnet,d5378cb9f35a99989e3dd76c2bf81a0392be867a,,False,4,2018-11-02 14:55:08-04:00,7,2018-11-02 18:55:08,1,46,46,0,0,33275,0,61,61,False,False,Friday,November,4,2018,14,Afternoon,False,68,10
3c34dbc328c296d76e976a061312e52cfaef8271,Correct spelling of ComputeWeightedAuc (#1509),True,The commit is addressing a known issue in the code by correcting a typo that could have caused confusion or errors.,mlnet,850f91c2e67679a825b49d3eefd96dea2cc2c153,,False,30,2018-11-02 16:15:02-04:00,26,2018-11-02 20:15:02,1,1,1,0,0,566,0,4,4,False,False,Friday,November,4,2018,16,Afternoon,False,46,5
75ea03d185c38300163d2892461063604987711e,Adding third party notice and license to all NuGets (#1486),False,Mention of adding licensing information indicates feature addition rather than solving a bug.,mlnet,3c34dbc328c296d76e976a061312e52cfaef8271,,False,10,2018-11-02 16:23:57-04:00,7,2018-11-02 20:23:57,1,3,3,0,0,99,13,13,0,False,False,Friday,November,4,2018,16,Afternoon,False,59,10
098350f7bb1865bc3541d66c06c612f06237abdb,fix to enable calibration in OVA (#1512),True,The commit title explicitly mentions fixing a problem with enabling calibration in OVA.,mlnet,75ea03d185c38300163d2892461063604987711e,,False,51,2018-11-02 16:47:27-04:00,7,2018-11-02 20:47:27,1,1,1,0,0,622,0,1,1,False,False,Friday,November,4,2018,16,Afternoon,False,40,7
5364501cc08b0faee9d42c3fd230f2dd9b79c367,Always checks label in FFM trainer (#1499),True,The commit addresses an issue numbered as a bug,mlnet,098350f7bb1865bc3541d66c06c612f06237abdb,,False,66,2018-11-02 17:24:18-04:00,7,2018-11-02 21:24:18,1,1,1,0,0,531,-1,1,2,False,False,Friday,November,4,2018,17,Afternoon,False,42,7
858b6c3cd883e3220e016a50b0c4199e71cd5502,Better explanation of Score's initial value (#1513),False,The commit message is related to documentation or clarification rather than fixing a bug.,mlnet,5364501cc08b0faee9d42c3fd230f2dd9b79c367,,False,66,2018-11-02 18:42:33-04:00,7,2018-11-02 22:42:33,1,1,1,0,0,115,1,5,4,False,False,Friday,November,4,2018,18,Afternoon,False,51,7
2eea47f07a156f8e540062ad8851ad751e647e53,Fix build error (#1497),True,Direct mention of a 'build error' indicates the fix is related to resolving a known bug.,mlnet,858b6c3cd883e3220e016a50b0c4199e71cd5502,,False,42,2018-11-05 10:11:12-05:00,4,2018-11-05 15:11:12,1,2,2,0,0,3690,0,12,12,False,False,Monday,November,4,2018,10,Morning,False,23,4
73762a8d8f23d27f3c15b4382c0bc374934ccad5,Fix zero based key input from C# classes for matrix factorization (#1507),True,The commit describes a specific bug fix related to matrix operations,mlnet,f9202628fbfac9e599e8c63dc5ed26eae77afbee,,False,66,2018-11-05 16:50:06-05:00,7,2018-11-05 21:50:06,1,4,4,0,0,2239,164,212,48,False,False,Monday,November,4,2018,16,Afternoon,False,73,12
cffb3fe182745f213a2ec8d54d3b66d252322161,Add release notes for ML.NET 0.7 (#1517),False,Release notes update does not indicate fixing a bug.,mlnet,73762a8d8f23d27f3c15b4382c0bc374934ccad5,,False,9,2018-11-06 02:09:57-05:00,10,2018-11-06 07:09:57,1,1,0,1,0,143,143,143,0,True,False,Tuesday,November,4,2018,2,Night,False,40,7
244a8c2ac832657af282aa312d568211698790aa,Baseline comparisons with tolerance should not exit when values don't match (#218) (#1420),True,This likely describes a fix for an issue related to baseline comparison errors in code,mlnet,cffb3fe182745f213a2ec8d54d3b66d252322161,,False,61,2018-11-06 02:45:18-05:00,43,2018-11-06 07:45:18,2,1,1,0,0,832,14,21,7,False,False,Tuesday,November,4,2018,2,Night,False,90,13
38d3b59f68add1900674a69c8acbadcd3f800ea1,Make whitening tests work on hosted macs (#1530),True,The commit addresses a specific issue #1530 which indicates it's related to testing functionality.,mlnet,118846d4c098465e75dd5fa894e1f42c2e9b8b38,,False,60,2018-11-06 13:30:10-05:00,7,2018-11-06 18:30:10,1,4,4,0,0,826,3,12,9,False,False,Tuesday,November,4,2018,13,Afternoon,False,48,8
acc17c9149397ed0653b24d1da1aa171a5b13f3c,removing space that is causing the docs CI to fail (#1546),True,The commit addresses a known issue indicated by comment #1546,mlnet,e63669b3228fe932e062983759321a021a660f51,,False,43,2018-11-06 14:03:00-05:00,10,2018-11-06 19:03:00,1,1,1,0,0,77,0,1,1,False,False,Tuesday,November,4,2018,14,Afternoon,False,58,11
24b20b567f8cb3afc1363b4f99d8c925314bf219,Publish build logs in Azure DevOps CI. (#1527),False,This appears to be an operational change rather than a code fix.,mlnet,acc17c9149397ed0653b24d1da1aa171a5b13f3c,,False,58,2018-11-06 14:24:31-05:00,7,2018-11-06 19:24:31,1,1,1,0,0,63,23,23,0,False,False,Tuesday,November,4,2018,14,Afternoon,False,46,8
5393bbd5aa001a78657d43d41de88f516000f157,Rename LinearClassificationTrainer to SdcaBinaryTrainer (#1417),False,The commit message refers to a renaming which doesn't describe fixing any bug,mlnet,509ac6be30b8edbd76232c424bf061c6daaa1967,,False,61,2018-11-06 17:32:39-05:00,10,2018-11-06 22:32:39,1,10,10,0,0,7464,0,30,30,False,False,Tuesday,November,4,2018,17,Afternoon,False,63,5
d6f9f8b94bbd59b789343592577ff56757134985,Making RowMapperTransform a template (#1551),False,Templating is often for code maintainability and reusability rather than fixing bugs.,mlnet,5566d2a717b33be955546d1a48eb8e20b83b97f2,,False,53,2018-11-06 20:12:12-05:00,15,2018-11-07 01:12:12,1,29,29,0,0,18633,30,118,88,False,False,Tuesday,November,4,2018,20,Evening,False,44,5
a3b09bf97bfdd3371aedf2ed8a3c23fc493fa133,Update input arguments in CpuMath files (#1021),True,Specific commit related to a known issue #1021 suggests a bug fix.,mlnet,d6f9f8b94bbd59b789343592577ff56757134985,,False,42,2018-11-06 21:38:13-05:00,10,2018-11-07 02:38:13,1,6,6,0,0,2740,1,246,245,False,False,Tuesday,November,4,2018,21,Evening,False,47,7
70524d3e3d03373f1fbfe06c8f9134d8b58dd65e,Publish test artifacts on timeout and not just failure (#1561),True,The commit title suggests addressing a specific known issue related to testing procedures,mlnet,88ad2c270eba77fd9f02565dff22e08f7908f234,,False,60,2018-11-07 14:35:17-05:00,7,2018-11-07 19:35:17,1,1,1,0,0,64,1,4,3,False,False,Wednesday,November,4,2018,14,Afternoon,False,62,10
d8402cdc8b2a6d4c9e205bf77ffdf729f53a2174,adding more logging to failures. (#1555),True,Enhanced logging is often employed to troubleshoot and detect bugs.,mlnet,70524d3e3d03373f1fbfe06c8f9134d8b58dd65e,,False,43,2018-11-07 17:05:59-05:00,7,2018-11-07 22:05:59,1,1,1,0,0,838,6,11,5,False,False,Wednesday,November,4,2018,17,Afternoon,False,40,6
