Commit Sha,File Sha,Lines,Path,Path1,Path2,Path3,Extension
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,8dd4607a4b3c4f581d2728ef1cd2d15ad42e2ee2,398,.gitignore,.gitignore,,,.gitignore
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,f77ef21bdc1694e6af664e73a717beb5804944be,34,MattEland.Wherewolf.sln,MattEland.Wherewolf.sln,,,.sln
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,8ef0769eb0ea8f8f0dc2cc9b873580e7775e6de2,19,MattEland.Wherewolf.Benchmarking/MattEland.Wherewolf.Benchmarking.csproj,MattEland.Wherewolf.Benchmarking,MattEland.Wherewolf.Benchmarking.csproj,,.csproj
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,e5dff12bc410be0bac59bc70865a8e21827ec7f3,3,MattEland.Wherewolf.Benchmarking/Program.cs,MattEland.Wherewolf.Benchmarking,Program.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,4c2f99d03839f4d8425e7f8fbf219dd7b0389346,70,MattEland.Wherewolf.Console/DisplayHelpers.cs,MattEland.Wherewolf.Console,DisplayHelpers.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,70dc385e0d228b50c224a29b2e4deac5a647eaf6,28,MattEland.Wherewolf.Console/HumanController.cs,MattEland.Wherewolf.Console,HumanController.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,61b0a1f7a919b01db6ade8f2e4c5ead0cccc5827,19,MattEland.Wherewolf.Console/MattEland.Wherewolf.Console.csproj,MattEland.Wherewolf.Console,MattEland.Wherewolf.Console.csproj,,.csproj
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,d8d0e6ba24543580c3aca5c386f78d4644dd7108,123,MattEland.Wherewolf.Console/Program.cs,MattEland.Wherewolf.Console,Program.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,14d8d1f8bf036aab8f6fd95bf05bf66b79a980c8,53,MattEland.Wherewolf.Tests/GamePlayerTests.cs,MattEland.Wherewolf.Tests,GamePlayerTests.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,cf551c7e9247845c03eb22d215ed50a8650d7457,33,MattEland.Wherewolf.Tests/GameRoleTests.cs,MattEland.Wherewolf.Tests,GameRoleTests.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,d1629305352881eca6078b9772faa06cb904cbeb,100,MattEland.Wherewolf.Tests/GameStatePermutationTests.cs,MattEland.Wherewolf.Tests,GameStatePermutationTests.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,f2f65899ac6546a8b7d47c7d08c022b8a6f1ff94,23,MattEland.Wherewolf.Tests/GameTestsBase.cs,MattEland.Wherewolf.Tests,GameTestsBase.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,bd8299f6f213dd93ae428cdaf1f6c8a11c08af58,2,MattEland.Wherewolf.Tests/GlobalUsings.cs,MattEland.Wherewolf.Tests,GlobalUsings.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,2fcceae113d45a39faa4db9fc0c45e8f8d8f68f1,31,MattEland.Wherewolf.Tests/MattEland.Wherewolf.Tests.csproj,MattEland.Wherewolf.Tests,MattEland.Wherewolf.Tests.csproj,,.csproj
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,8d5b08e6c9cfd1331631f65bf094bf4cfd08f751,26,MattEland.Wherewolf.Tests/RunGameTests.cs,MattEland.Wherewolf.Tests,RunGameTests.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,367dc6e141001b4bbcfa1efb616da72ce537267f,186,MattEland.Wherewolf.Tests/StartGameTests.cs,MattEland.Wherewolf.Tests,StartGameTests.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,58d32c8e69ef750df4b06f637e9e35f493f28a8f,21,MattEland.Wherewolf/GamePermutation.cs,MattEland.Wherewolf,GamePermutation.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,28fa14b0ffda0c731e154e3dd3132b772dd94d77,181,MattEland.Wherewolf/GameSetup.cs,MattEland.Wherewolf,GameSetup.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,7250314ce4e2e521196e40c47722d213afc49bd0,30,MattEland.Wherewolf/GameSlot.cs,MattEland.Wherewolf,GameSlot.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,06507dc7c1871c1c9d84c63f4b52a4553bc62816,232,MattEland.Wherewolf/GameState.cs,MattEland.Wherewolf,GameState.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,5b172cec9f56c14cc779233ff5e0b088eb7de9a6,8,MattEland.Wherewolf/ISlotShuffler.cs,MattEland.Wherewolf,ISlotShuffler.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,23b824f2e4d092c49a92c132c00f510d8f26572c,14,MattEland.Wherewolf/MattEland.Wherewolf.csproj,MattEland.Wherewolf,MattEland.Wherewolf.csproj,,.csproj
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,9e6b0681568139aeab359abb167900baba14c905,9,MattEland.Wherewolf/NonShuffler.cs,MattEland.Wherewolf,NonShuffler.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,cb7c426799ae1ecce9eaddbf36c5a0d6a6bbbcf5,8,MattEland.Wherewolf/Player.cs,MattEland.Wherewolf,Player.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,30bf415e4fd72ef40c0fbcf766e69cebd6b98a30,39,MattEland.Wherewolf/PlayerProbabilities.cs,MattEland.Wherewolf,PlayerProbabilities.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,7a2919fb838af8f8f52f5771b8bf058146891aeb,11,MattEland.Wherewolf/RandomShuffler.cs,MattEland.Wherewolf,RandomShuffler.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,e733327145440d8a37a60d42b156b6cf4e4a0c95,30,MattEland.Wherewolf/SlotRoleProbabilities.cs,MattEland.Wherewolf,SlotRoleProbabilities.cs,,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,8476622d2235993d82a82240ae95378eb85c5531,23,MattEland.Wherewolf.Tests/Helpers/TestingSetups.cs,MattEland.Wherewolf.Tests,Helpers,TestingSetups.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,06198b531c08c0d61b014ef1471cefea96dfd17e,27,MattEland.Wherewolf.Tests/Phases/RobberPhaseTests.cs,MattEland.Wherewolf.Tests,Phases,RobberPhaseTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,85eb23c9bef9f32f39e1555fc8712aa63e6fc18b,106,MattEland.Wherewolf.Tests/Probability/BasicProbabilityTests.cs,MattEland.Wherewolf.Tests,Probability,BasicProbabilityTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,deb7fbacac76138fb49a4e1956db3737fe40cd2c,61,MattEland.Wherewolf.Tests/Probability/CalculatePermutationsTests.cs,MattEland.Wherewolf.Tests,Probability,CalculatePermutationsTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,dfaa1a7d084c3550acc459bd284cec8e5718deb5,24,MattEland.Wherewolf.Tests/Probability/GameSetupPermutationTests.cs,MattEland.Wherewolf.Tests,Probability,GameSetupPermutationTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,a7ec53033ceb51c9df827cfb8ee6fdbb30b5c7c8,121,MattEland.Wherewolf.Tests/Roles/InsomniacRoleTests.cs,MattEland.Wherewolf.Tests,Roles,InsomniacRoleTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,ce943a01c08e394d362b2327e3326407c4086cdc,87,MattEland.Wherewolf.Tests/Roles/RobberRoleTests.cs,MattEland.Wherewolf.Tests,Roles,RobberRoleTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,1c04806432c9e484fa7a960573715c59644c3980,32,MattEland.Wherewolf.Tests/Roles/RoleTestBase.cs,MattEland.Wherewolf.Tests,Roles,RoleTestBase.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,181af9d859b4d6a359379e59459722d5dc24828a,24,MattEland.Wherewolf.Tests/Roles/VillagerRoleTests.cs,MattEland.Wherewolf.Tests,Roles,VillagerRoleTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,924ad9e7316f7cd870e804330db88b860c8c8f5c,117,MattEland.Wherewolf.Tests/Roles/WerewolfRoleTests.cs,MattEland.Wherewolf.Tests,Roles,WerewolfRoleTests.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,3b1c874d25d321cbd491714603a48d88ab79d66e,18,MattEland.Wherewolf/Controllers/FixedSelectionController.cs,MattEland.Wherewolf,Controllers,FixedSelectionController.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,ffd181a989c1ed6f6c26d7b2c99733512d72eacf,14,MattEland.Wherewolf/Controllers/PlayerController.cs,MattEland.Wherewolf,Controllers,PlayerController.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,8bd42a069aa98fb210bd57242030fd08e5ea1023,13,MattEland.Wherewolf/Controllers/RandomController.cs,MattEland.Wherewolf,Controllers,RandomController.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,eb374257c4f9ac28c92e26a9ddeef86bba53efba,30,MattEland.Wherewolf/Events/DealtCardEvent.cs,MattEland.Wherewolf,Events,DealtCardEvent.cs,.cs
cf62da41c06729a09d0f7a744888a8fcbbbd7e92,6b3e38c6c0f8c106c15ba173c0971962f1668574,11,MattEland.Wherewolf/Events/GameEvent.cs,MattEland.Wherewolf,Events,GameEvent.cs,.cs
