Sha,Message,IsBugFix,Message,Response
7894423f9bac837f4c5fb2c9a0f4284da38f2069,"Initial commit",False,"An initial commit typically sets the stage for future development and does not indicate fixing of bugs by itself","{""IsBugFix"": false, ""Reason"": ""An initial commit typically sets the stage for future development and does not indicate fixing of bugs by itself""}"
42dd1a3280da0bf901058cd7812faa1355eaae29,"Create README.md",False,"Creating documentation does not fix code bugs","{""IsBugFix"": false, ""Reason"": ""Creating documentation does not fix code bugs""}"
25139110fc53537334c2f2a745246b4fcf8203fb,"Updated the readme",False,"Updating documentation does not fix bugs","{""IsBugFix"": false, ""Reason"": ""Updating documentation does not fix bugs""}"
3a88efed0961f689e692eb3d52b3d9d3ddca903b,"Update README.md",False,"Updating documentation does not directly fix bugs in the code","{""IsBugFix"": false, ""Reason"": ""Updating documentation does not directly fix bugs in the code""}"
0278d89a6150858193cee8e6d1ac0ce159ac4ad0,"Update README.md",False,"Updating documentation does not fix code issues","{""IsBugFix"": false, ""Reason"": ""Updating documentation does not fix code issues""}"
fcb49163e602da9235c05e0d6cdf7cac27b741f4,"Update README.md",False,"Updating documentation does not fix code issues","{""IsBugFix"": false, ""Reason"": ""Updating documentation does not fix code issues""}"
d6edeab59d2bc88962d778c95f918b8a60d29e08,"Added images to the readme",False,"Updating documentation is typically unrelated to fixing bugs in code.","{""IsBugFix"": false, ""Reason"": ""Updating documentation is typically unrelated to fixing bugs in code.""}"
192b2c0af061aab62d27ec1339d4eb73be47fb39,"update try.net image",False,"Updating an image generally implies applying the latest version or adding features rather than fixing bugs within the existing codebase.","{""IsBugFix"": false, ""Reason"": ""Updating an image generally implies applying the latest version or adding features rather than fixing bugs within the existing codebase.""}"
3b768f91d4def0215892e4b138d4bfb36cadea04,"Update README.md",False,"Updating documentation is not addressing a code bug","{     ""IsBugFix"": false,     ""Reason"": ""Updating documentation is not addressing a code bug"" }"
879de9e97785445f60cb900ae51793e3254fe3d3,"Update README.md",False,"Updating documentation is unrelated to fixing bugs","{""IsBugFix"": false, ""Reason"": ""Updating documentation is unrelated to fixing bugs""}"
02af783c0ea17e9f18cf2352a01514317b6da249,"Update README.md",False,"Updating documentation is unrelated to fixing bugs","{""IsBugFix"": false, ""Reason"": ""Updating documentation is unrelated to fixing bugs""}"
